show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
s00032,Movie,Silent Forest 39,Steven Spielberg,"Actor A, Actor B, Actor D",United States,9/22/2022,1961,91,A comedy that will make you laugh.,Action
s00033,TV Show,Legal Minds,Maria Garcia,Actor D,Mexico,,2009,2 Season(s),A sci-fi exploration of future technology.,"Children & Family, Horror, Action"
s00034,TV Show,Space Explorers,Maria Garcia,,South Korea,5/26/2010,2017,3 Season(s),An action-packed thriller.,Drama
s00035,TV Show,Mystery Valley,Christopher Nolan,,Canada,8/27/2020,1970,2 Season(s),An intense drama about life choices.,"Children & Family, Action, Drama"
s00036,Movie,Desert Winds 1373,Jane Doe,"Actor D, Actor B, Actor C",United States,11/19/2018,2021,89,A comedy that will make you laugh.,"Drama, Romance, Action"
s00037,Movie,Digital Ghost 722,nan,Actor A,United States,8/27/2013,1984,115,A documentary about nature.,"Drama, Thriller, Children & Family"
s00038,Movie,The Last Adventure 16,nan,"Actor E, Actor D",India,3/20/2017,1998,86,An intense drama about life choices.,Romance
s00039,Movie,Digital Ghost 1450,Jane Doe,"Actor A, Actor D",India,4/6/2011,1987,92,An intense drama about life choices.,Sci-Fi
s00040,Movie,Silent Forest 894,nan,,United States,5/19/2020,1964,86,An action-packed thriller.,Comedy
s00041,Movie,Moonlight Dreams 311,nan,"Actor A, Actor D, Actor E",United States,9/17/2010,2005,93,A sci-fi exploration of future technology.,"Thriller, Action"
s00042,Movie,Cyber Revolution 1194,nan,"Actor B, Actor E, Actor D, Actor A",Canada,6/23/2016,1961,119,A family movie for all ages.,"Documentary, Sci-Fi, Horror"
s00043,TV Show,Tech Wars,Steven Spielberg,Actor A,India,11/1/2012,2010,7 Season(s),A thrilling adventure about discovery.,"Documentary, Romance, Comedy"
s00044,Movie,Digital Ghost 1165,nan,Actor C,United States,10/8/2011,1961,166,A mystery that will keep you guessing.,"Action, Thriller, Documentary"
s00045,Movie,Hidden Truth 1440,Jane Doe,Actor E,United States,12/25/2016,2021,135,A mystery that will keep you guessing.,"Action, Drama, Thriller"
s00046,Movie,Cyber Revolution 1915,nan,Actor D,nan,1/19/2017,1991,86,A romantic tale set in a distant land.,"Comedy, Thriller"
s00047,Movie,Secret Agent X 814,John Smith,Actor C,India,,1995,114,A romantic tale set in a distant land.,"Action, Romance, Drama"
s00048,Movie,Broken Chains 29,Steven Spielberg,,Germany,11/19/2018,1969,90,An intense drama about life choices.,Documentary
s00049,Movie,Starlight Journey 477,nan,Actor B,India,8/12/2019,1990,87,An intense drama about life choices.,Drama
s00050,TV Show,Medical Heroes,Jane Doe,Actor A,United States,1/26/2016,1978,2 Season(s),A family movie for all ages.,"Drama, Action"
s00051,TV Show,Undercover,nan,"Actor B, Actor C",United Kingdom,6/17/2021,1993,8 Season(s),An action-packed thriller.,Horror
s00052,TV Show,Beyond Borders,nan,"Actor E, Actor B, Actor D, Actor C",United Kingdom,10/17/2011,2015,3 Season(s),A thrilling adventure about discovery.,"Documentary, Sci-Fi, Drama"
s00053,TV Show,Mystery Valley,David Lee,"Actor A, Actor B",Australia,8/13/2017,2018,6 Season(s),A mystery that will keep you guessing.,"Drama, Children & Family, Action"
s00054,Movie,Wild Expedition 1464,Steven Spielberg,"Actor D, Actor B, Actor A",France,,1987,89,A family movie for all ages.,"Thriller, Documentary, Action"
s00055,TV Show,Beyond Borders,David Lee,,United States,2/5/2010,1995,7 Season(s),A mystery that will keep you guessing.,"Sci-Fi, Drama, Action"
s00056,Movie,Urban Legends 377,Christopher Nolan,"Actor E, Actor B",nan,10/14/2014,1968,137,A documentary about nature.,"Thriller, Comedy"
s00057,Movie,Future Shock 926,Christopher Nolan,"Actor B, Actor C, Actor E, Actor A",United Kingdom,9/2/2010,1971,139,A romantic tale set in a distant land.,Action
s00058,Movie,Secret Agent X 340,nan,Actor A,nan,7/24/2013,1989,114,A documentary about nature.,Documentary
s00059,Movie,Ocean Mysteries 577,Quentin Tarantino,,nan,12/12/2022,2015,156,A thrilling adventure about discovery.,Documentary
s00060,Movie,Starlight Journey 3,Jane Doe,"Actor A, Actor D",United States,10/16/2013,1999,87,A thrilling adventure about discovery.,Sci-Fi
s00061,Movie,Digital Ghost 1166,nan,"Actor D, Actor A, Actor E, Actor B",United Kingdom,5/10/2021,1964,159,An action-packed thriller.,"Comedy, Drama, Action"
s00062,TV Show,Space Explorers,Jane Doe,"Actor A, Actor E",India,,2010,7 Season(s),A comedy that will make you laugh.,"Action, Children & Family"
s00063,Movie,Hidden Truth 324,James Cameron,"Actor C, Actor E, Actor A, Actor B",France,1/26/2012,1968,103,An intense drama about life choices.,"Drama, Horror, Thriller"
s00064,Movie,Hidden Truth 1982,nan,Actor C,India,11/27/2019,1998,89,A romantic tale set in a distant land.,"Romance, Comedy"
s00065,Movie,Ocean Mysteries 1689,Steven Spielberg,"Actor A, Actor D, Actor C, Actor B",nan,6/20/2020,1991,114,A family movie for all ages.,"Children & Family, Romance"
s00066,Movie,Wild Expedition 705,nan,Actor D,Spain,7/25/2014,2010,128,An action-packed thriller.,"Action, Romance, Comedy"
s00067,TV Show,Undercover,nan,"Actor E, Actor B, Actor C",United States,11/5/2014,1978,1 Season(s),A family movie for all ages.,Sci-Fi
s00068,Movie,Lost Kingdom 1999,nan,"Actor B, Actor E",United States,2/3/2015,2018,150,A comedy that will make you laugh.,"Comedy, Sci-Fi, Action"
s00069,TV Show,Mystery Valley,David Lee,"Actor C, Actor A, Actor E, Actor D",France,8/24/2011,1987,8 Season(s),An action-packed thriller.,"Comedy, Sci-Fi"
s00070,TV Show,Legal Minds,Jane Doe,"Actor C, Actor A",United States,5/3/2015,1978,6 Season(s),A sci-fi exploration of future technology.,"Action, Thriller, Sci-Fi"
s00071,Movie,Starlight Journey 1913,James Cameron,"Actor B, Actor E",Germany,3/3/2014,1990,89,A mystery that will keep you guessing.,"Documentary, Drama, Romance"
s00072,Movie,Desert Winds 1164,nan,"Actor E, Actor A",United Kingdom,12/28/2021,1969,92,An intense drama about life choices.,Sci-Fi
s00073,TV Show,Family Ties,nan,"Actor A, Actor D",United Kingdom,4/4/2019,1962,7 Season(s),An intense drama about life choices.,"Action, Romance, Comedy"
s00074,TV Show,Tech Wars,Maria Garcia,"Actor E, Actor C",United States,8/17/2019,1977,5 Season(s),An intense drama about life choices.,Documentary
s00075,TV Show,Undercover,Quentin Tarantino,"Actor D, Actor E, Actor A",Spain,,1979,7 Season(s),A documentary about nature.,"Drama, Documentary"
s00076,TV Show,Undercover,Steven Spielberg,,United States,,1981,4 Season(s),A romantic tale set in a distant land.,Comedy
s00077,Movie,Ocean Mysteries 939,Christopher Nolan,"Actor E, Actor D, Actor A, Actor C",Germany,3/10/2021,1974,91,An action-packed thriller.,"Sci-Fi, Documentary, Thriller"
s00078,Movie,Mountain Echo 807,nan,"Actor C, Actor E, Actor A, Actor B",India,5/16/2013,1980,177,An action-packed thriller.,"Thriller, Documentary, Sci-Fi"
s00079,Movie,Lost Kingdom 1368,John Smith,,Germany,6/26/2013,2011,91,A documentary about nature.,Romance
s00080,TV Show,Family Ties,nan,,Canada,10/9/2016,1999,6 Season(s),A thrilling adventure about discovery.,"Thriller, Action"
s00081,Movie,Digital Ghost 226,nan,"Actor C, Actor E",United States,3/24/2019,1996,89,A romantic tale set in a distant land.,"Documentary, Drama, Action"
s00082,Movie,Secret Agent X 564,Steven Spielberg,,Germany,1/2/2018,1990,128,A comedy that will make you laugh.,Comedy
s00083,Movie,Desert Winds 1595,David Lee,,United States,7/16/2018,2008,147,A comedy that will make you laugh.,"Children & Family, Action, Drama"
s00084,Movie,Time Paradox 1684,John Smith,"Actor B, Actor A, Actor E, Actor D",India,2/19/2015,1980,91,An intense drama about life choices.,"Drama, Romance, Thriller"
s00085,Movie,Final Frontier 1517,Maria Garcia,"Actor D, Actor A, Actor C, Actor B",United States,,1993,132,An action-packed thriller.,Thriller
s00086,TV Show,Medical Heroes,nan,,Germany,10/20/2014,1998,5 Season(s),A heartwarming story of friendship.,"Comedy, Drama, Action"
s00087,Movie,Future Shock 1131,nan,,Mexico,8/5/2021,1996,88,A thrilling adventure about discovery.,Thriller
s00088,TV Show,Tech Wars,nan,,Canada,12/26/2021,1990,7 Season(s),A family movie for all ages.,Action
s00089,Movie,Echoes of Yesterday 753,James Cameron,"Actor E, Actor D, Actor C, Actor A",India,6/2/2017,1999,101,An intense drama about life choices.,"Thriller, Comedy"
s00090,Movie,Cyber Revolution 1912,Christopher Nolan,"Actor B, Actor D",Germany,7/10/2022,1981,164,A comedy that will make you laugh.,"Action, Documentary"
s00091,TV Show,Medical Heroes,nan,"Actor B, Actor C, Actor E",United States,5/12/2015,1995,5 Season(s),A comedy that will make you laugh.,"Drama, Children & Family"
s00092,TV Show,Undercover,Steven Spielberg,"Actor D, Actor C, Actor A",Mexico,6/19/2015,2003,3 Season(s),A romantic tale set in a distant land.,Thriller
s00093,Movie,Ocean Mysteries 54,Jane Doe,"Actor A, Actor B, Actor D, Actor E",United States,3/23/2012,1986,87,A thrilling adventure about discovery.,"Children & Family, Sci-Fi, Documentary"
s00094,TV Show,Legal Minds,Christopher Nolan,"Actor B, Actor A, Actor D, Actor C",nan,10/13/2011,2001,2 Season(s),A thrilling adventure about discovery.,Documentary
s00095,Movie,Starlight Journey 1545,David Lee,"Actor C, Actor A, Actor E, Actor D",Spain,10/28/2012,2022,146,A heartwarming story of friendship.,"Drama, Thriller"
s00096,Movie,Cyber Revolution 1044,Steven Spielberg,"Actor E, Actor D",Germany,9/27/2016,1998,62,A comedy that will make you laugh.,"Drama, Children & Family, Horror"
s00097,Movie,Starlight Journey 1597,David Lee,,France,4/7/2020,2000,73,A mystery that will keep you guessing.,Comedy
s00098,Movie,Future Shock 419,nan,"Actor B, Actor C, Actor A",India,8/9/2017,1996,117,A romantic tale set in a distant land.,"Comedy, Thriller, Action"
s00099,Movie,Hidden Truth 850,Christopher Nolan,"Actor D, Actor C, Actor B",Canada,3/21/2014,1974,85,An action-packed thriller.,"Comedy, Action, Romance"
s00100,Movie,Starlight Journey 216,Christopher Nolan,Actor E,United States,5/4/2021,1990,137,A mystery that will keep you guessing.,"Action, Horror"
s00101,Movie,Cyber Revolution 160,Jane Doe,"Actor E, Actor D",Japan,5/14/2015,1990,118,A sci-fi exploration of future technology.,"Comedy, Action"
s00102,Movie,Cyber Revolution 781,nan,,Japan,2/4/2019,2007,131,A romantic tale set in a distant land.,Documentary
s00103,Movie,Urban Legends 1113,Quentin Tarantino,"Actor A, Actor C, Actor B",South Korea,1/18/2020,1969,93,A family movie for all ages.,Action
s00104,TV Show,Mystery Valley,Jane Doe,"Actor A, Actor C, Actor B",India,11/16/2019,1992,3 Season(s),An action-packed thriller.,"Drama, Action"
s00105,Movie,Desert Winds 1934,Christopher Nolan,"Actor D, Actor C",United States,7/26/2020,1964,92,A thrilling adventure about discovery.,"Comedy, Romance"
s00106,Movie,Ocean Mysteries 1634,nan,"Actor A, Actor B",United Kingdom,12/8/2015,1976,112,An action-packed thriller.,"Horror, Drama, Sci-Fi"
s00107,TV Show,Family Ties,John Smith,Actor C,France,5/14/2021,1976,3 Season(s),A romantic tale set in a distant land.,"Comedy, Sci-Fi"
s00108,Movie,Echoes of Yesterday 952,nan,"Actor B, Actor D, Actor A",United States,9/10/2013,2020,68,A comedy that will make you laugh.,"Romance, Comedy"
s00109,Movie,Cyber Revolution 635,nan,"Actor D, Actor B, Actor E, Actor A",United States,6/19/2021,1996,155,A sci-fi exploration of future technology.,Thriller
s00110,Movie,Echoes of Yesterday 1219,Quentin Tarantino,Actor D,Australia,6/27/2014,2009,62,A thrilling adventure about discovery.,"Comedy, Horror, Action"
s00111,Movie,Moonlight Dreams 1356,nan,"Actor B, Actor E, Actor C",Canada,9/16/2017,1994,89,A mystery that will keep you guessing.,"Romance, Drama"
s00112,TV Show,Tech Wars,Christopher Nolan,"Actor B, Actor A",India,5/21/2015,1961,8 Season(s),A documentary about nature.,"Documentary, Children & Family, Thriller"
s00113,TV Show,Mystery Valley,nan,Actor E,United Kingdom,6/9/2021,1991,6 Season(s),A sci-fi exploration of future technology.,"Documentary, Sci-Fi, Children & Family"
s00114,Movie,Urban Legends 40,David Lee,,Spain,6/19/2016,2003,83,A heartwarming story of friendship.,Action
s00115,TV Show,Mystery Valley,nan,"Actor A, Actor E",United States,9/15/2013,1985,5 Season(s),A documentary about nature.,Comedy
s00116,TV Show,Undercover,Christopher Nolan,"Actor E, Actor B, Actor A, Actor C",Spain,2/10/2011,1974,3 Season(s),A family movie for all ages.,Comedy
s00117,Movie,Neon Nights 955,Steven Spielberg,,United States,3/7/2017,1995,87,A mystery that will keep you guessing.,"Romance, Drama"
s00118,TV Show,Tech Wars,Jane Doe,"Actor C, Actor A, Actor D, Actor B",South Korea,,1966,2 Season(s),A family movie for all ages.,Romance
s00119,Movie,Urban Legends 38,Jane Doe,"Actor C, Actor B, Actor D, Actor A",India,12/22/2010,1992,122,An action-packed thriller.,Drama
s00120,TV Show,Space Explorers,Quentin Tarantino,"Actor C, Actor A, Actor E",India,,2005,2 Season(s),A comedy that will make you laugh.,"Romance, Action, Drama"
s00121,TV Show,Family Ties,Jane Doe,"Actor E, Actor A, Actor D, Actor C",Japan,6/24/2016,2004,2 Season(s),An action-packed thriller.,"Comedy, Action, Horror"
s00122,Movie,Ocean Mysteries 1200,Steven Spielberg,"Actor A, Actor C, Actor B, Actor D",Japan,,1995,93,A comedy that will make you laugh.,Drama
s00123,Movie,Hidden Truth 454,John Smith,,United States,6/8/2013,1962,90,An intense drama about life choices.,Drama
s00124,Movie,Ocean Mysteries 1340,nan,"Actor D, Actor E, Actor C",Germany,5/21/2017,1987,178,An intense drama about life choices.,Action
s00125,Movie,Wild Expedition 973,John Smith,"Actor D, Actor C",United States,10/14/2016,2008,92,A family movie for all ages.,"Documentary, Thriller"
s00126,TV Show,Beyond Borders,Christopher Nolan,,Mexico,6/7/2013,2000,8 Season(s),A heartwarming story of friendship.,Action
s00127,TV Show,Undercover,John Smith,"Actor C, Actor B, Actor D",Australia,7/12/2011,1973,3 Season(s),A family movie for all ages.,"Romance, Documentary"
s00128,Movie,Digital Ghost 593,Christopher Nolan,"Actor C, Actor D, Actor A",United Kingdom,4/19/2010,1962,161,An intense drama about life choices.,"Documentary, Comedy"
s00129,Movie,Hidden Truth 1064,nan,"Actor A, Actor E, Actor C, Actor B",Australia,7/27/2012,1983,63,A documentary about nature.,Comedy
s00130,Movie,Digital Ghost 224,Steven Spielberg,"Actor E, Actor A, Actor C",United Kingdom,12/8/2013,1967,163,A documentary about nature.,"Horror, Drama"
s00131,Movie,Final Frontier 698,nan,,United States,3/5/2018,1992,76,A heartwarming story of friendship.,"Romance, Comedy, Thriller"
s00132,Movie,Cyber Revolution 1592,nan,"Actor D, Actor C, Actor B",nan,10/15/2021,1973,73,A heartwarming story of friendship.,Drama
s00133,Movie,Time Paradox 1890,nan,"Actor B, Actor E, Actor A, Actor C",France,4/8/2019,1997,86,A heartwarming story of friendship.,Action
s00134,TV Show,Space Explorers,David Lee,,India,1/13/2014,2016,3 Season(s),A family movie for all ages.,Action
s00135,Movie,Digital Ghost 1773,nan,Actor A,United Kingdom,5/8/2020,1994,92,A mystery that will keep you guessing.,"Drama, Romance"
s00136,Movie,The Last Adventure 1286,nan,"Actor E, Actor C, Actor D, Actor B",United Kingdom,12/14/2017,1992,69,A romantic tale set in a distant land.,"Romance, Action, Horror"
s00137,TV Show,Space Explorers,David Lee,"Actor B, Actor E, Actor A",nan,11/20/2013,1987,1 Season(s),A thrilling adventure about discovery.,"Action, Comedy"
s00138,Movie,Final Frontier 336,Maria Garcia,,United States,5/13/2020,1992,177,A heartwarming story of friendship.,Comedy
s00139,TV Show,Space Explorers,David Lee,"Actor D, Actor A",United Kingdom,10/12/2018,2018,1 Season(s),A thrilling adventure about discovery.,Thriller
s00140,TV Show,Beyond Borders,Maria Garcia,,India,1/16/2017,1995,4 Season(s),A mystery that will keep you guessing.,"Action, Documentary"
s00141,Movie,The Last Adventure 571,David Lee,"Actor D, Actor C, Actor B, Actor A",India,1/19/2017,1971,83,A romantic tale set in a distant land.,"Action, Comedy"
s00142,Movie,Wild Expedition 1705,John Smith,"Actor D, Actor C, Actor B",India,8/24/2018,1972,167,A heartwarming story of friendship.,"Romance, Thriller"
s00143,Movie,Digital Ghost 363,Quentin Tarantino,Actor D,United States,3/24/2019,2016,68,A heartwarming story of friendship.,"Documentary, Thriller"
s00144,Movie,Digital Ghost 1369,Steven Spielberg,,United States,7/13/2017,1991,158,A heartwarming story of friendship.,Action
s00145,Movie,Future Shock 356,Christopher Nolan,"Actor D, Actor E",United States,6/23/2010,2015,95,A documentary about nature.,"Thriller, Drama, Children & Family"
s00146,Movie,Mountain Echo 700,James Cameron,"Actor D, Actor C, Actor E, Actor A",Mexico,5/7/2014,2006,93,A mystery that will keep you guessing.,Sci-Fi
s00147,Movie,Secret Agent X 133,Christopher Nolan,"Actor C, Actor D, Actor A",United States,6/23/2012,1980,128,A thrilling adventure about discovery.,"Sci-Fi, Action, Comedy"
s00148,Movie,Neon Nights 557,Maria Garcia,"Actor B, Actor A, Actor E, Actor D",Germany,12/20/2011,1980,161,A comedy that will make you laugh.,"Horror, Sci-Fi"
s00149,Movie,Final Frontier 1055,James Cameron,"Actor D, Actor A, Actor B, Actor C",Germany,11/26/2017,2012,94,A comedy that will make you laugh.,"Romance, Documentary, Thriller"
s00150,TV Show,Legal Minds,nan,Actor B,Australia,5/7/2019,1960,3 Season(s),A mystery that will keep you guessing.,Documentary
s00151,Movie,Future Shock 1418,Christopher Nolan,Actor C,South Korea,12/9/2015,1973,143,A heartwarming story of friendship.,Sci-Fi
s00152,Movie,Neon Nights 1461,Quentin Tarantino,"Actor D, Actor E, Actor A, Actor B",United States,11/12/2013,1981,167,A comedy that will make you laugh.,"Action, Sci-Fi"
s00153,Movie,Secret Agent X 1951,nan,"Actor B, Actor A",United States,5/9/2017,1970,94,A thrilling adventure about discovery.,Drama
s00154,TV Show,Tech Wars,Maria Garcia,Actor E,India,4/20/2021,2021,7 Season(s),A comedy that will make you laugh.,"Romance, Horror, Sci-Fi"
s00155,Movie,Desert Winds 1282,Christopher Nolan,"Actor D, Actor C, Actor A, Actor E",United States,8/21/2010,2022,147,A thrilling adventure about discovery.,"Drama, Thriller, Horror"
s00156,Movie,Lost Kingdom 589,nan,"Actor B, Actor D",Spain,1/20/2020,1991,100,A heartwarming story of friendship.,"Comedy, Drama, Action"
s00157,TV Show,Undercover,nan,,Japan,5/1/2017,1985,1 Season(s),A heartwarming story of friendship.,"Action, Horror"
s00158,Movie,Silent Forest 295,Jane Doe,"Actor E, Actor B, Actor A",South Korea,3/12/2018,1969,61,A family movie for all ages.,"Comedy, Sci-Fi, Drama"
s00159,TV Show,Tech Wars,Jane Doe,"Actor C, Actor A",United States,10/22/2015,1965,4 Season(s),An intense drama about life choices.,"Drama, Action, Horror"
s00160,Movie,Digital Ghost 1070,nan,"Actor C, Actor A, Actor E, Actor B",Mexico,6/17/2020,2008,120,A documentary about nature.,"Drama, Romance, Action"
s00161,Movie,Starlight Journey 1257,David Lee,"Actor A, Actor C",United States,8/17/2015,1973,89,A romantic tale set in a distant land.,Thriller
s00162,Movie,Starlight Journey 360,Maria Garcia,"Actor A, Actor E, Actor C, Actor B",India,11/24/2011,1990,86,A romantic tale set in a distant land.,"Drama, Thriller, Children & Family"
s00163,Movie,Moonlight Dreams 700,nan,"Actor E, Actor B",India,5/12/2016,2003,92,An action-packed thriller.,"Horror, Romance, Action"
s00164,Movie,Digital Ghost 675,James Cameron,,Germany,5/18/2018,1996,167,A documentary about nature.,"Action, Documentary"
s00165,TV Show,Space Explorers,John Smith,"Actor E, Actor B, Actor D",India,3/12/2014,1975,1 Season(s),A heartwarming story of friendship.,"Drama, Children & Family"
s00166,Movie,Mountain Echo 467,James Cameron,,Mexico,5/6/2014,2003,89,A romantic tale set in a distant land.,"Sci-Fi, Action"
s00167,Movie,Secret Agent X 586,nan,"Actor D, Actor C",Mexico,8/9/2019,1978,154,A thrilling adventure about discovery.,"Drama, Comedy"
s00168,Movie,Echoes of Yesterday 1248,Maria Garcia,"Actor B, Actor D",South Korea,5/8/2014,1974,71,An action-packed thriller.,Sci-Fi
s00169,Movie,Moonlight Dreams 1855,David Lee,"Actor E, Actor B, Actor D, Actor C",United States,3/17/2014,1991,168,A comedy that will make you laugh.,Action
s00170,Movie,Urban Legends 1246,James Cameron,"Actor D, Actor A, Actor E, Actor C",South Korea,9/10/2014,2008,170,A comedy that will make you laugh.,"Action, Thriller, Romance"
s00171,Movie,Ocean Mysteries 989,Quentin Tarantino,"Actor A, Actor B, Actor E, Actor C",Germany,4/21/2022,1996,174,An action-packed thriller.,"Romance, Documentary, Comedy"
s00172,Movie,Desert Winds 916,John Smith,Actor C,United States,1/24/2021,2003,98,An intense drama about life choices.,Documentary
s00173,Movie,Desert Winds 1266,nan,Actor C,United States,8/11/2015,1999,155,A sci-fi exploration of future technology.,"Action, Documentary, Romance"
s00174,Movie,Desert Winds 731,Maria Garcia,Actor E,United States,6/16/2013,1981,81,A thrilling adventure about discovery.,"Horror, Sci-Fi"
s00175,Movie,Starlight Journey 524,Christopher Nolan,,United States,12/12/2016,1976,120,A romantic tale set in a distant land.,"Horror, Sci-Fi, Action"
s00176,Movie,Starlight Journey 1930,nan,,India,11/17/2022,2007,88,An intense drama about life choices.,"Drama, Action, Romance"
s00177,Movie,The Last Adventure 22,Christopher Nolan,"Actor E, Actor A, Actor B, Actor C",nan,,2017,140,A thrilling adventure about discovery.,"Action, Children & Family"
s00178,TV Show,Tech Wars,nan,"Actor A, Actor E",India,11/23/2013,1983,7 Season(s),A family movie for all ages.,"Sci-Fi, Action"
s00179,Movie,Hidden Truth 306,Christopher Nolan,Actor E,India,4/9/2014,1971,90,A romantic tale set in a distant land.,Horror
s00180,Movie,Lost Kingdom 704,David Lee,"Actor B, Actor A, Actor C",nan,4/11/2017,2001,63,A family movie for all ages.,"Comedy, Documentary, Action"
s00181,Movie,Urban Legends 285,Christopher Nolan,Actor D,United States,10/4/2014,2020,71,A heartwarming story of friendship.,Drama
s00182,TV Show,Beyond Borders,nan,"Actor A, Actor B, Actor E",South Korea,9/28/2020,2013,3 Season(s),A documentary about nature.,"Sci-Fi, Thriller, Documentary"
s00183,TV Show,Beyond Borders,John Smith,"Actor D, Actor C, Actor B, Actor A",India,4/2/2015,1968,6 Season(s),A heartwarming story of friendship.,"Comedy, Sci-Fi, Drama"
s00184,Movie,Cyber Revolution 948,Steven Spielberg,,Canada,5/6/2011,1992,92,A comedy that will make you laugh.,"Action, Drama, Sci-Fi"
s00185,Movie,Silent Forest 1031,Jane Doe,,United Kingdom,12/5/2011,1993,169,An intense drama about life choices.,"Romance, Thriller, Action"
